' motor car';'motor car'
'lighter [bidi/cigarette/gas stove]';'lighter'
'lock';'lock'
'LPG [excl. conveyance]';'LPG non transportation'
'lubricants and other fuels for vehicle';'lubricants and other fuels transportation'
'lungi (no.)';'apparel lungi'
'maida';'maida'
'maize and products';'maize and products'
'mango';'mango'
'masur';'masur'
'matches (box)';'matches (box)'
'medicine [non-institutional]';'medicine non institutional'
'milk: condensed/powder';'milk condensed/powder'
'milk: liquid (litre)';'milk liquid (litre)'
'mineral water (litre)';'mineral water (litre)'
'mobile handset';'mobile handset'
'monthly charges for cable TV connection';'monthly charges for cable TV connection'
'Monthly Maintainance charges';'Monthly Maintainance charges'
'moong';'moong'
'mosquito net (no.)';'mosquito net (no.)'
'mosquito repellent';'mosquito repellent'
'muri';'muri'
'mustard oil';'mustard oil'
'newspapers';'newspapers'
'oilseeds (gm)';'oilseeds (gm)'
'onion';'onion'
'orange';'orange'
'other beverages: cocoa';'beverages cocoa'
'other cereals';'other cereals'
'other consumer services excluding conveyance';'other consumer services excluding conveyance'
'other conveyance expenses';'other conveyance expenses'
'other cooking/household appliances';'other cooking/household appliances'
'other crockery and utensils';'other crockery and utensils'
'other dry fruits';'other dry fruits'
'other durables [specify]';'other durables'
'other educational expenses [incl. fees for enrollment in web-based training]';'other educational expenses'
'other entertainment';'other entertainment'
'other footwear';'other footwear'
'other fresh fruits';'other fresh fruits'
'other fuel';'other fuel'
'other furniture and fixtures [couch';'other furniture and fixtures'
'other intoxicants';'other intoxicants'
'other leather footwear';'other leather footwear'
'other medical expenses [non-institutional]';'other medical expenses non institutional'
'other metal utensils';'other metal utensils'
'other milk products';'other milk products'
'other nuts';'other nuts'
'other ornaments';'other ornaments'
'other packaged processed food';'other packaged processed food'
'other petty articles';'other petty articles'
'other pulse products';'other pulse products'
'other pulses';'other pulses'
'other rice products';'other rice products'
'other tobacco products';'other tobacco products'
'other vegetables';'other vegetables'
'other washing requisites';'other washing requisites'
'others: birds';'others: birds'
'palak/other leafy vegetables';'palak/other leafy vegetables'
'pan: finished (no.)';'pan: finished (no.)'
'pan: leaf (no.)';'pan: leaf (no.)'
'papad';'papad'
'papaya';'papaya'
'parwal/patal';'parwal/patal'
'PC/Laptop/other peripherals incl. software';'PC/Laptop/other peripherals incl. software'
'pears/nashpati';'pears/nashpati'
'peas [Pulses]';'peas pulses'
'peas [Vegetables]';'peas vegetables'
'petrol for vehicle';'petrol for vehicle'
'photography';'photography'
'pickles (gm)';'pickles (gm)'
'pillow';'pillow'
'pineapple (no.)';'pineapple (no.)'
'plugs';'plugs'
'pork';'pork'
'porter charges';'porter charges'
'potato';'potato'
'powder';'powder'
'prepared sweets';'prepared sweets'
'pressure cooker/pressure pan';'pressure cooker/pressure pan'
'private tutor/coaching centre';'private tutor/coaching centre'
'radio';'radio'
'radish';'radish'
'ragi and its products';'ragi and its products'
'railway fare';'railway fare'
'raisin';'raisin'
'refined oil [sunflower';'refined oil sunflower'
'refrigerator';'refrigerator'
'residential building and land [cost of repairs only]';'residential building and land repairs'
'rice_other sources';'rice_other sources'
'rice_PDS';'rice_PDS'
'rickshaw [hand drawn and cycle] fare';'rickshaw rare'
'rubber/PVC footwear';'rubber/PVC footwear'
'rug';'rug'
'salt';'salt'
'sanitary napkins';'sanitary napkins'
'saree (no.)';'saree (no.)'
'sauce';'sauce'
'school bus';'school bus'
'school/college uniform: boys';'school/college uniform boys'
'school/college uniform: girls';'school/college uniform girls'
'sewai';'sewai'
'sewing machine';'sewing machine'
'shaving blades';'shaving blades'
'shaving cream';'shaving cream'
'shawl';'shawl'
'shirts';'shirts'
'shorts';'shorts'
'silver';'silver'
'singara';'singara'
'small millets and their products';'small millets and their products'
'snuff (gm)';'snuff (gm)'
'spectacles';'spectacles'
'sports goods';'sports goods'
'stainless steel utensils';'stainless steel utensils'
'stationery';'stationery'
'steamer';'steamer'
'stove';'stove'
'sugar - other sources';'sugar - other sources'
'sugar - PDS';'sugar - PDS'
'suitcase';'suitcase'
'suji';'suji'
'sweeper';'sweeper'
'tailor';'tailor'
'tamarind (gm)';'tamarind (gm)'
'taxi';'taxi'
'tea: cups (no.)';'tea: cups (no.)'
'tea: leaf (gm)';'tea: leaf (gm)'
'telephone charges: landline';'telephone charges: landline'
'telephone charges: mobile';'telephone charges: mobile'
'television';'television'
'toddy (litre)';'toddy (litre)'
'toilet soap';'toilet soap'
'tomato';'tomato'
'toothpaste';'toothpaste'
'torch';'torch'
'tuition and other fees [school';'tuition and other fees school'
'turmeric (gm)';'turmeric (gm)'
'umbrella';'umbrella'
'urd';'urd'
'vanaspati';'vanaspati'
'VCD/DVD hire [incl. instrument]';'VCD/DVD hire'
'VCR/VCD/DVD player';'VCR/VCD/DVD player'
'walnut';'walnut'
'washerman';'washerman'
'washing machine';'washing machine'
'washing soap/soda/powder';'washing soap/soda/powder'
'watch man charges [other cons taxes]';'watchman charges'
'water charges';'water charges'
'water purifier';'water purifier'
'watermelon';'watermelon'
'wheat/atta_other sources';'wheat/atta_other sources'
'wheat/atta_PDS';'wheat/atta_PDS'
'X-ray';'X-ray'
'zarda';'zarda'
